seed,regime,round,placement,mean_gap,open_capacity
1015,R3,2,0.2833333333333333,0.5195409816325546,26
1015,R3,3,0.35,0.5176612973699187,18
1015,R3,4,0.3833333333333333,0.5127140101600031,14
1015,R3,5,0.4416666666666666,0.5164418890774307,7
1015,R3,6,0.4666666666666667,0.5129443796554249,4
1016,R0,1,0.1916666666666666,0.5197307734039439,37
1016,R0,2,0.35,0.5192990926020649,18
1016,R0,3,0.4333333333333333,0.5189602221890605,8
1016,R0,4,0.4583333333333333,0.5185068167231551,5
1016,R0,5,0.4666666666666667,0.5180964305207454,4
1016,R0,6,0.475,0.5174805179989915,3
1016,R1,1,0.1416666666666666,0.5195962812430118,43
1016,R1,2,0.2666666666666666,0.5191580916809339,28
1016,R1,3,0.35,0.5185613294138395,18
1016,R1,4,0.3666666666666666,0.5181096031470516,16
1016,R1,5,0.4,0.517756087517257,12
1016,R1,6,0.4416666666666666,0.5172416650968449,7
1016,R2,1,0.1916666666666666,0.5176421826242167,37
1016,R2,2,0.3166666666666666,0.51206719178256,22
1016,R2,3,0.3583333333333333,0.5144365695159756,17
1016,R2,4,0.3916666666666666,0.5114923563313077,13
1016,R2,5,0.4083333333333333,0.5145457562570116,11
1016,R2,6,0.4083333333333333,0.51202213425012,11
1016,R3,1,0.175,0.5175929840489882,39
1016,R3,2,0.3083333333333333,0.5151375752707875,23
1016,R3,3,0.375,0.5103451833022956,15
1016,R3,4,0.4083333333333333,0.5078652095311808,11
1016,R3,5,0.4416666666666666,0.508690389948779,7
1016,R3,6,0.4583333333333333,0.5061077130943675,5
1017,R0,1,0.2083333333333333,0.4972249890421345,35
1017,R0,2,0.4166666666666667,0.4966844853203155,10
1017,R0,3,0.4666666666666667,0.496187228410973,4
1017,R0,4,0.4666666666666667,0.495797187776695,4
1017,R0,5,0.475,0.4954783113137739,3
1017,R0,6,0.4916666666666666,0.4950739480092894,1
1017,R1,1,0.2083333333333333,0.4969234319994351,35
1017,R1,2,0.3416666666666667,0.4961691636528751,19
1017,R1,3,0.375,0.4955502816450228,15
1017,R1,4,0.425,0.4951476229584662,9
1017,R1,5,0.425,0.4947537179747236,9
1017,R1,6,0.4333333333333333,0.4942657879056835,8
1017,R2,1,0.2083333333333333,0.4945233041660324,35
1017,R2,2,0.35,0.4938864019670909,18
1017,R2,3,0.4,0.4934924896250069,12
1017,R2,4,0.425,0.4968967660291952,9
1017,R2,5,0.45,0.494560800066771,6
1017,R2,6,0.4666666666666667,0.4945125537549721,4
1017,R3,1,0.1916666666666666,0.4953150305407929,37
